Stadium,City,Country
Melbourne Cricket Ground,Melbourne,Australia
Old Trafford Cricket Ground,Manchester,England
Lord's,London,England
Edgbaston Cricket Ground,Birmingham,England
Lancaster Park,Christchurch,New Zealand
St. Helen's Rugby and Cricket Ground,Swansea,Wales
Headingley Cricket Ground,Leeds,England
The Oval,London,England
Carisbrook,Dunedin,New Zealand
Trent Bridge,Nottingham,England
Basin Reserve,Wellington,New Zealand
Adelaide Oval,Adelaide,Australia
Eden Park,Auckland,New Zealand
North Marine Road Ground,Scarborough,England
Jinnah Stadium,Sialkot,Pakistan
Albion Sports Complex,Albion,Guyana
Zafar Ali Stadium,Sahiwal,Pakistan
Gaddafi Stadium,Lahore,Pakistan
Antigua Recreation Ground,St. John's,Antigua & Barbuda
Mindoo Phillip Park,Castries,Saint Lucia
Ayub National Stadium,Quetta,Pakistan
Sydney Cricket Ground,Sydney,Australia
The Gabba,Brisbane,Australia
National Stadium,Karachi,Pakistan
WACA Ground,Perth,Australia
Arnos Vale Stadium,Kingstown,Saint Vincent and the Grenadines
Seddon Park,Hamilton,New Zealand
Sardar Vallabhbhai Patel Stadium,Ahmedabad,India
Gandhi Stadium,Jalandhar,India
Barabati Stadium,Cuttack,India
Sinhalese Sports Club Ground (SSC),Colombo,Sri Lanka
Gandhi Sports Complex Ground,Amritsar,India
Arun Jaitley Stadium,New Delhi,India
Niaz Stadium,Hyderabad,Pakistan
M. Chinnaswamy Stadium,Bangalore,India
Jinnah Stadium,Gujranwala,Pakistan
Ibn-e-Qasim Bagh Stadium,Multan,Pakistan
Queen's Park Oval,Port of Spain,Trinidad & Tobago
McLean Park,Napier,New Zealand
Queen's Park (Old),St. George's,Grenada
Paikiasothy Saravanamuttu Stadium,Colombo,Sri Lanka
County Ground,Taunton,England
Grace Road,Leicester,England
Bristol County Ground,Bristol,England
New Road,Worcester,England
County Ground,Southampton,England
Nevill Ground,Royal Tunbridge Wells,England
County Cricket Ground,Derby,England
County Ground,Chelmsford,England
Lal Bahadur Shastri Stadium,Hyderabad,India
Sawai Mansingh Stadium,Jaipur,India
Sher-i-Kashmir Stadium,Srinagar,India
Moti Bagh Stadium,Vadodara,India
Nehru Stadium,Indore,India
Keenan Stadium,Jamshedpur,India
Nehru Stadium,Guwahati,India
Tyronne Fernando Stadium,Moratuwa,Sri Lanka
Sharjah Cricket Stadium,Sharjah,UAE
Sabina Park (Bina),Kingston,Jamaica
Jawaharlal Nehru Stadium,New Delhi,India
University Stadium,Trivandrum,India
Narendra Modi Stadium,Ahmedabad,India
Arbab Niaz Stadium,Peshawar,Pakistan
Iqbal Stadium,Faisalabad,Pakistan
Nehru Stadium,Pune,India
Tasmania Cricket Association Ground,Hobart,Australia
Vidarbha Cricket Association Ground,Nagpur,India
Sector 16 Stadium,Chandigarh,India
Kensington Oval,Bridgetown,Barbados
Pindi Club Ground,Rawalpindi,Pakistan
North Tasmania Cricket Association Ground,Launceston,Australia
Asgiriya Stadium,Kandy,Sri Lanka
Ranasinghe Premadasa Stadium,Colombo,Sri Lanka
Madhavrao Scindia Cricket Ground,Rajkot,India
Green Park Stadium,Kanpur,India
Wankhede Stadium,Mumbai,India
Devonport Oval,Devonport,Australia
Eden Gardens,Kolkata,India
M. A. Chidambaram Stadium,Chennai,India
Bellerive Oval,Hobart,Australia
Nahar Singh Stadium,Faridabad,India
Captain Roop Singh Stadium,Gwalior,India
Bourda,Georgetown,Guyana
MA Aziz Stadium,Chittagong,Bangladesh
Bangabandhu National Stadium,Dhaka,Bangladesh
Indira Priyadarshini Stadium,Visakhapatnam,India
Brabourne Stadium,Mumbai,India
Nehru Stadium,Fatorda,India
K.D. Singh Babu Stadium,Lucknow,India
Sargodha Cricket Stadium,Sargodha,Pakistan
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
Pukekura Park,New Plymouth,New Zealand
Ray Mitchell Oval,Mackay,Australia
Eastern Oval,Ballarat,Australia
Manuka Oval,Canberra,Australia
Berri Oval,Berri,Australia
Lavington Sports Oval,Albury,Australia
Harare Sports Club,Harare,Zimbabwe
Bulawayo Athletic Club,Bulawayo,Zimbabwe
Newlands,Cape Town,South Africa
St George's Park,Gqeberha,South Africa
Centurion Park (SuperSport Park),Centurion,South Africa
New Wanderers Stadium,Johannesburg,South Africa
Mangaung Oval,Bloemfontein,South Africa
Kingsmead,Durban,South Africa
Buffalo Park,East London,South Africa
Moin-ul-Haq Stadium,Patna,India
Punjab Cricket Association Stadium,Mohali,India
Reliance Stadium,Vadodara,India
Singapore Cricket Club Ground,Singapore,Singapore
"Toronto Cricket, Skating and Curling Club Ground",Toronto,Canada
Gymkhana Club Ground,Nairobi,Kenya
Nairobi Club Ground,Nairobi,Kenya
Aga Khan Sports Club Ground,Nairobi,Kenya
Bugti Stadium,Quetta,Pakistan
Queens Sports Club,Bulawayo,Zimbabwe
Boland Park,Paarl,South Africa
Willowmoore Park,Benoni,South Africa
Nehru Stadium,Kochi,India
De Beers Diamond Oval,Kimberley,South Africa
Sheikhupura Stadium,Sheikhupura,Pakistan
Owen Delany Park,Taup?,New Zealand
National Cricket Stadium,St. George's,Grenada
County Cricket Ground,Hove,England
St. Lawrence Ground,Canterbury,England
County Ground,Northampton,England
Sophia Gardens (SWALEC Stadium),Cardiff,Wales
Riverside Ground,Chester-le-Street,England
Clontarf Cricket Club Ground (Castle Avenue),Dublin,Ireland
Grange CC Ground,Edinburgh,Scotland
VRA Cricket Ground,Amstelveen,Netherlands
Galle International Stadium,Galle,Sri Lanka
Kallang Ground,Singapore,Singapore
Westpac Stadium,Wellington,New Zealand
Marvel Stadium,Melbourne,Australia
JB Marks Oval (Senwes Park/Sedgars Park),Potchefstroom,South Africa
Barkatullah Khan Stadium,Jodhpur,India
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Simba Union Ground,Nairobi,Kenya
Darren Sammy National Cricket Stadium,Gros Islet,Saint Lucia
National Cricket Stadium,Tangier,Morocco
Indira Gandhi Stadium,Vijayawada,India
Kwekwe Sports Club,Kwekwe,Zimbabwe
John Davies Oval,Queenstown,New Zealand
City Oval (Alexandra Park),Pietermaritzburg,South Africa
Rose Bowl (The Ageas Bowl),Southampton,England
Cazaly's Stadium,Cairns,Australia
Marrara Oval,Darwin,Australia
Multan Cricket Stadium,Multan,Pakistan
Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (APCA-VDCA Stadium),Visakhapatnam,India
Rajiv Gandhi International Cricket Stadium,Hyderabad,India
Shaheed Chandu Stadium,Bogra,Bangladesh
Zohur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Sheikh Abu Naser Stadium,Khulna,Bangladesh
Fatullah Osmani Stadium,Fatullah,Bangladesh
Holkar Cricket Stadium,Indore,India
Sheikh Zayed Cricket Stadium,Abu Dhabi,UAE
Warner Park,Basseterre,Saint Kitts & Nevis
Stormont,Belfast,Northern Ireland
Cambusdoon New Ground,Ayr,Scotland
Kinrara Academy Oval,Kuala Lumpur,Malaysia
Mombasa Sports Club Ground,Mombasa,Kenya
Sher-e-Bangla National Cricket Stadium,Mirpur,Bangladesh
Jaffery Sports Club Ground,Nairobi,Kenya
Ruaraka Sports Club Ground,Nairobi,Kenya
Sir Vivian Richards Stadium,St. John's,Antigua & Barbuda
Providence Stadium,Providence,Guyana
Titwood,Glasgow,Scotland
Hazelaarweg Stadion,Rotterdam,Netherlands
Maple Leaf North-West Ground,King City,Canada
Mannofield Park,Aberdeen,Scotland
Dubai International Cricket Stadium,Dubai,UAE
Windsor Park,Roseau,Dominica
Vidarbha Cricket Association Stadium,Nagpur,India
University Oval,Dunedin,New Zealand
Sportpark Westvliet,Voorburg,Netherlands
Sportpark Thurlede,Schiedam,Netherlands
Mahinda Rajapaksa International Stadium,Hambantota,Sri Lanka
Pallekele International Cricket Stadium,Pallekele,Sri Lanka
Cobham Oval,Whangarei,New Zealand
Saurashtra Cricket Association Stadium,Rajkot,India
JSCA International Cricket Stadium,Ranchi,India
Himachal Pradesh Cricket Association Stadium,Dharamshala,India
ICC Global Cricket Academy,Dubai,UAE
Malahide Cricket Club Ground,Dublin,Ireland
Maharashtra Cricket Association Stadium,Pune,India
Saxton Oval,Nelson,New Zealand
Hagley Oval,Christchurch,New Zealand
Bert Sutcliffe Oval,Lincoln,New Zealand
Bay Oval,Tauranga,New Zealand
Bayuemas Oval,Pandamaran,Malaysia
Riverway Stadium,Townsville,Australia
Mission Road Ground,Mong Kok,Hong Kong
Greater Noida Sports Complex Ground,Greater Noida,India
Amini Park,Port Moresby,Papua New Guinea
Optus Stadium,Perth,Australia
Old Hararians,Harare,Zimbabwe
Assam Cricket Association Stadium (Barsapara Cricket Stadium),Guwahati,India
Greenfield International Stadium,Trivandrum,India
Sylhet International Cricket Stadium,Sylhet,Bangladesh
Rajiv Gandhi International Cricket Stadium,Dehradun,India
Wanderers Cricket Ground,Windhoek,Namibia
Affies Park,Windhoek,Namibia
Sportpark Het Schootsveld,Deventer,Netherlands
Bready,Magheramason,Northern Ireland
Central Broward Regional Park,Lauderhill,United States
Ekana Cricket Stadium,Lucknow,India
Oman Cricket Academy Ground (Ministry Turf 1),Muscat,Oman
Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Sportpark Maarschalkerweerd,Utrecht,Netherlands
Oman Cricket Academy Ground (Ministry Turf 2),Muscat,Oman
West End Park International Cricket Stadium,Doha,Qatar
Moosa Stadium,Pearland,United States
United Ground,Windhoek,Namibia
Shaheed Veer Narayan Singh International Cricket Stadium,Raipur,India
Mulpani Cricket Stadium,Kathmandu,Nepal
Takashinga Cricket Club,Harare,Zimbabwe
Brian Lara Cricket Academy,San Fernando,Trinidad & Tobago
